date,fuel_type,pump_price,duty_rate,vat_rate
2007-03-12,petrol,88.48,48.35,17.5
2007-03-19,diesel,92.61,48.35,17.5
2007-03-19,petrol,88.93,48.35,17.5
2007-03-26,diesel,92.91,48.35,17.5
2007-03-26,petrol,89.32,48.35,17.5
2007-04-02,diesel,93.9,48.35,17.5
2007-04-02,petrol,90.47,48.35,17.5
2007-04-10,diesel,94.33,48.35,17.5
2007-04-10,petrol,91.18,48.35,17.5
2007-04-16,diesel,94.86,48.35,17.5
2007-04-16,petrol,91.99,48.35,17.5
2007-04-23,diesel,95.39,48.35,17.5
2007-04-23,petrol,92.93,48.35,17.5
2007-04-30,diesel,95.71,48.35,17.5
2007-04-30,petrol,93.45,48.35,17.5
2007-05-07,diesel,96.12,48.35,17.5
2007-05-07,petrol,94.43,48.35,17.5
2007-05-14,diesel,96.47,48.35,17.5
2007-05-14,petrol,95.07,48.35,17.5
2007-05-21,diesel,96.69,48.35,17.5
2007-05-21,petrol,95.71,48.35,17.5
2007-05-28,diesel,96.99,48.35,17.5
2007-05-28,petrol,96.16,48.35,17.5
2007-06-04,diesel,97.19,48.35,17.5
2007-06-04,petrol,96.51,48.35,17.5
2007-06-11,diesel,97.2,48.35,17.5
2007-06-11,petrol,96.61,48.35,17.5
2007-06-18,diesel,97.11,48.35,17.5
2007-06-18,petrol,96.56,48.35,17.5
2007-06-25,diesel,97.12,48.35,17.5
2007-06-25,petrol,96.54,48.35,17.5
2007-07-02,diesel,96.89,48.35,17.5
2007-07-02,petrol,96.36,48.35,17.5
2007-07-09,diesel,96.78,48.35,17.5
2007-07-09,petrol,96.2,48.35,17.5
2007-07-16,diesel,96.79,48.35,17.5
2007-07-16,petrol,96.21,48.35,17.5
2007-07-23,diesel,96.83,48.35,17.5
2007-07-23,petrol,96.23,48.35,17.5
2007-07-30,diesel,96.77,48.35,17.5
2007-07-30,petrol,96.2,48.35,17.5
2007-08-06,diesel,96.72,48.35,17.5
2007-08-06,petrol,96.15,48.35,17.5
2007-08-13,diesel,96.7,48.35,17.5
2007-08-13,petrol,96.0,48.35,17.5
2007-08-20,diesel,96.59,48.35,17.5
2007-08-20,petrol,95.31,48.35,17.5
2007-08-27,diesel,96.37,48.35,17.5
2007-08-27,petrol,95.0,48.35,17.5
2007-09-03,diesel,96.37,48.35,17.5
2007-09-03,petrol,94.8,48.35,17.5
2007-09-10,diesel,96.34,48.35,17.5
2007-09-10,petrol,94.63,48.35,17.5
2007-09-17,diesel,96.45,48.35,17.5
2007-09-17,petrol,94.65,48.35,17.5
2007-09-24,diesel,96.9,48.35,17.5
2007-09-24,petrol,94.91,48.35,17.5
2007-10-01,diesel,98.51,50.35,17.5
2007-10-01,petrol,96.39,50.35,17.5
2007-10-08,diesel,99.1,50.35,17.5
2007-10-08,petrol,97.14,50.35,17.5
2007-10-15,diesel,99.18,50.35,17.5
2007-10-15,petrol,97.19,50.35,17.5
2007-10-22,diesel,99.89,50.35,17.5
2007-10-22,petrol,97.81,50.35,17.5
2007-10-29,diesel,100.69,50.35,17.5
2007-10-29,petrol,98.26,50.35,17.5
2007-11-05,diesel,102.16,50.35,17.5
2007-11-05,petrol,99.36,50.35,17.5
2007-11-12,diesel,104.17,50.35,17.5
2007-11-12,petrol,100.74,50.35,17.5
2007-11-19,diesel,105.28,50.35,17.5
2007-11-19,petrol,101.47,50.35,17.5
2007-11-26,diesel,106.25,50.35,17.5
2007-11-26,petrol,102.13,50.35,17.5
2007-12-03,diesel,107.19,50.35,17.5
2007-12-03,petrol,102.58,50.35,17.5
2007-12-10,diesel,107.47,50.35,17.5
2007-12-10,petrol,102.67,50.35,17.5
2007-12-17,diesel,107.56,50.35,17.5
2007-12-17,petrol,102.6,50.35,17.5
2007-12-24,diesel,107.5,50.35,17.5
2007-12-24,petrol,102.53,50.35,17.5
2007-12-31,diesel,107.61,50.35,17.5
2007-12-31,petrol,102.66,50.35,17.5
2008-01-07,diesel,108.29,50.35,17.5
